year,quarter,date,newspapers,mood,detrending,val
1911,2,1911 Q2,without Los Angeles Times,neutral,none,100.28323599658412
1911,3,1911 Q3,without Los Angeles Times,neutral,none,100.07342982499617
1911,4,1911 Q4,without Los Angeles Times,neutral,none,100.15594323524525
1912,1,1912 Q1,without Los Angeles Times,neutral,none,100.44039020955961
1912,2,1912 Q2,without Los Angeles Times,neutral,none,100.18138567073945
1912,3,1912 Q3,without Los Angeles Times,neutral,none,100.28078679932878
1912,4,1912 Q4,without Los Angeles Times,neutral,none,100.91570101122721
1913,1,1913 Q1,without Los Angeles Times,neutral,none,101.55840537138593
1913,2,1913 Q2,without Los Angeles Times,neutral,none,102.0241941116044
1913,3,1913 Q3,without Los Angeles Times,neutral,none,101.51064443153247
1913,4,1913 Q4,without Los Angeles Times,neutral,none,101.4519531827438
1914,1,1914 Q1,without Los Angeles Times,neutral,none,100.88581193200721
1914,2,1914 Q2,without Los Angeles Times,neutral,none,100.67224877198207
1914,3,1914 Q3,without Los Angeles Times,neutral,none,100.83329094916309
1914,4,1914 Q4,without Los Angeles Times,neutral,none,101.408012137854
1915,1,1915 Q1,without Los Angeles Times,neutral,none,101.03360089550903
1915,2,1915 Q2,without Los Angeles Times,neutral,none,100.49417567574108
1915,3,1915 Q3,without Los Angeles Times,neutral,none,101.12022998278574
1915,4,1915 Q4,without Los Angeles Times,neutral,none,101.28297087072632
1916,1,1916 Q1,without Los Angeles Times,neutral,none,100.8985218696149
1916,2,1916 Q2,without Los Angeles Times,neutral,none,100.44493892000364
1916,3,1916 Q3,without Los Angeles Times,neutral,none,100.93998329013677
1916,4,1916 Q4,without Los Angeles Times,neutral,none,101.13514208972896
1917,1,1917 Q1,without Los Angeles Times,neutral,none,101.55434756767582
1917,2,1917 Q2,without Los Angeles Times,neutral,none,102.200072123259
1917,3,1917 Q3,without Los Angeles Times,neutral,none,101.59046429909037
1917,4,1917 Q4,without Los Angeles Times,neutral,none,102.34969627786126
1918,1,1918 Q1,without Los Angeles Times,neutral,none,101.44952005364175
1918,2,1918 Q2,without Los Angeles Times,neutral,none,101.6789163936755
1918,3,1918 Q3,without Los Angeles Times,neutral,none,100.97774516467103
1918,4,1918 Q4,without Los Angeles Times,neutral,none,101.22797622401849
1919,1,1919 Q1,without Los Angeles Times,neutral,none,101.47111641373894
1919,2,1919 Q2,without Los Angeles Times,neutral,none,101.70866001352077
1919,3,1919 Q3,without Los Angeles Times,neutral,none,101.15047836210789
1919,4,1919 Q4,without Los Angeles Times,neutral,none,101.78005623391991
1920,1,1920 Q1,without Los Angeles Times,neutral,none,101.98378977124409
1920,2,1920 Q2,without Los Angeles Times,neutral,none,101.54408039842869
1920,3,1920 Q3,without Los Angeles Times,neutral,none,100.89686279028007
1920,4,1920 Q4,without Los Angeles Times,neutral,none,101.18409394868965
1921,1,1921 Q1,without Los Angeles Times,neutral,none,101.4837157410742
1921,2,1921 Q2,without Los Angeles Times,neutral,none,101.10452172663017
1921,3,1921 Q3,without Los Angeles Times,neutral,none,101.26691753678149
1921,4,1921 Q4,without Los Angeles Times,neutral,none,101.22498978604453
1922,1,1922 Q1,without Los Angeles Times,neutral,none,101.13613123433157
1922,2,1922 Q2,without Los Angeles Times,neutral,none,100.97637981530357
1922,3,1922 Q3,without Los Angeles Times,neutral,none,100.7841226795579
1922,4,1922 Q4,without Los Angeles Times,neutral,none,100.86686417056455
1923,1,1923 Q1,without Los Angeles Times,neutral,none,100.99830881116537
1923,2,1923 Q2,without Los Angeles Times,neutral,none,100.65734310981054
1923,3,1923 Q3,without Los Angeles Times,neutral,none,100.41353291484984
1923,4,1923 Q4,without Los Angeles Times,neutral,none,100.73150138181995
1924,1,1924 Q1,without Los Angeles Times,neutral,none,101.13359261813166
1924,2,1924 Q2,without Los Angeles Times,neutral,none,100.66826886635214
1924,3,1924 Q3,without Los Angeles Times,neutral,none,100.75111785815638
1924,4,1924 Q4,without Los Angeles Times,neutral,none,101.218475994778
1925,1,1925 Q1,without Los Angeles Times,neutral,none,100.98789239416979
1925,2,1925 Q2,without Los Angeles Times,neutral,none,100.97450278200705
1925,3,1925 Q3,without Los Angeles Times,neutral,none,101.0055075936787
1925,4,1925 Q4,without Los Angeles Times,neutral,none,101.077620922509
1926,1,1926 Q1,without Los Angeles Times,neutral,none,101.04746808999325
1926,2,1926 Q2,without Los Angeles Times,neutral,none,101.25569698943167
1926,3,1926 Q3,without Los Angeles Times,neutral,none,101.26153308581607
1926,4,1926 Q4,without Los Angeles Times,neutral,none,101.22835151143836
1927,1,1927 Q1,without Los Angeles Times,neutral,none,101.15828828100555
1927,2,1927 Q2,without Los Angeles Times,neutral,none,101.10469374197336
1927,3,1927 Q3,without Los Angeles Times,neutral,none,100.99041154923445
1927,4,1927 Q4,without Los Angeles Times,neutral,none,101.34531415247514
1928,1,1928 Q1,without Los Angeles Times,neutral,none,101.42415529920129
1928,2,1928 Q2,without Los Angeles Times,neutral,none,101.37839042003472
1928,3,1928 Q3,without Los Angeles Times,neutral,none,101.31113927603232
1928,4,1928 Q4,without Los Angeles Times,neutral,none,101.28152354130224
1929,1,1929 Q1,without Los Angeles Times,neutral,none,101.74921729540847
1929,2,1929 Q2,without Los Angeles Times,neutral,none,101.28565960221536
1929,3,1929 Q3,without Los Angeles Times,neutral,none,101.53459570918062
1929,4,1929 Q4,without Los Angeles Times,neutral,none,101.87150077260479
1930,1,1930 Q1,without Los Angeles Times,neutral,none,101.32304608490195
1930,2,1930 Q2,without Los Angeles Times,neutral,none,101.57855464275758
1930,3,1930 Q3,without Los Angeles Times,neutral,none,101.32743005071632
1930,4,1930 Q4,without Los Angeles Times,neutral,none,101.34830754017132
1931,1,1931 Q1,without Los Angeles Times,neutral,none,101.62372338944103
1931,2,1931 Q2,without Los Angeles Times,neutral,none,101.41785533063234
1931,3,1931 Q3,without Los Angeles Times,neutral,none,101.51862861380192
1931,4,1931 Q4,without Los Angeles Times,neutral,none,101.9325036588763
1932,1,1932 Q1,without Los Angeles Times,neutral,none,102.19001968312747
1932,2,1932 Q2,without Los Angeles Times,neutral,none,102.07105555784499
1932,3,1932 Q3,without Los Angeles Times,neutral,none,102.3416773355764
1932,4,1932 Q4,without Los Angeles Times,neutral,none,102.02978312183677
1933,1,1933 Q1,without Los Angeles Times,neutral,none,102.613780795432
1933,2,1933 Q2,without Los Angeles Times,neutral,none,102.17203759935575
1933,3,1933 Q3,without Los Angeles Times,neutral,none,101.83471869332327
1933,4,1933 Q4,without Los Angeles Times,neutral,none,102.05901542631334
1934,1,1934 Q1,without Los Angeles Times,neutral,none,102.15566289292266
1934,2,1934 Q2,without Los Angeles Times,neutral,none,101.60319384220061
1934,3,1934 Q3,without Los Angeles Times,neutral,none,101.52324828091594
1934,4,1934 Q4,without Los Angeles Times,neutral,none,101.39191082895557
1935,1,1935 Q1,without Los Angeles Times,neutral,none,101.51273622275426
1935,2,1935 Q2,without Los Angeles Times,neutral,none,101.09230375945667
1935,3,1935 Q3,without Los Angeles Times,neutral,none,101.1203493165761
1935,4,1935 Q4,without Los Angeles Times,neutral,none,101.1818666323787
1936,1,1936 Q1,without Los Angeles Times,neutral,none,100.93068172128328
1936,2,1936 Q2,without Los Angeles Times,neutral,none,100.7724199425098
1936,3,1936 Q3,without Los Angeles Times,neutral,none,100.65118058893985
1936,4,1936 Q4,without Los Angeles Times,neutral,none,100.82708450489922
1937,1,1937 Q1,without Los Angeles Times,neutral,none,100.75162595977545
1937,2,1937 Q2,without Los Angeles Times,neutral,none,100.5862270251869
1937,3,1937 Q3,without Los Angeles Times,neutral,none,100.34169278302561
1937,4,1937 Q4,without Los Angeles Times,neutral,none,100.3524581915529
1938,1,1938 Q1,without Los Angeles Times,neutral,none,100.97583445707498
1938,2,1938 Q2,without Los Angeles Times,neutral,none,100.60215955744539
1938,3,1938 Q3,without Los Angeles Times,neutral,none,100.73152873978823
1938,4,1938 Q4,without Los Angeles Times,neutral,none,100.86066042267325
1939,1,1939 Q1,without Los Angeles Times,neutral,none,100.83938024554911
1939,2,1939 Q2,without Los Angeles Times,neutral,none,100.62538296939582
1939,3,1939 Q3,without Los Angeles Times,neutral,none,100.34792091999739
1939,4,1939 Q4,without Los Angeles Times,neutral,none,100.6234432919886
1940,1,1940 Q1,without Los Angeles Times,neutral,none,100.83134650464243
1940,2,1940 Q2,without Los Angeles Times,neutral,none,100.24102918887584
1940,3,1940 Q3,without Los Angeles Times,neutral,none,100.39465263451635
1940,4,1940 Q4,without Los Angeles Times,neutral,none,100.27045266812945
1941,1,1941 Q1,without Los Angeles Times,neutral,none,100.80643505759154
1941,2,1941 Q2,without Los Angeles Times,neutral,none,100.43176064135724
1941,3,1941 Q3,without Los Angeles Times,neutral,none,100.24345971533431
1941,4,1941 Q4,without Los Angeles Times,neutral,none,100.2603459996703
1942,1,1942 Q1,without Los Angeles Times,neutral,none,100.70383585651034
1942,2,1942 Q2,without Los Angeles Times,neutral,none,100.42412169523944
1942,3,1942 Q3,without Los Angeles Times,neutral,none,99.92079487794284
1942,4,1942 Q4,without Los Angeles Times,neutral,none,99.70460648553556
1943,1,1943 Q1,without Los Angeles Times,neutral,none,99.87753601689082
1943,2,1943 Q2,without Los Angeles Times,neutral,none,99.72310757446948
1943,3,1943 Q3,without Los Angeles Times,neutral,none,99.65105580210526
1943,4,1943 Q4,without Los Angeles Times,neutral,none,99.53655620466867
1944,1,1944 Q1,without Los Angeles Times,neutral,none,100.11799229800717
1944,2,1944 Q2,without Los Angeles Times,neutral,none,99.845104814626
1944,3,1944 Q3,without Los Angeles Times,neutral,none,99.73236150644978
1944,4,1944 Q4,without Los Angeles Times,neutral,none,100.31263287911499
1945,1,1945 Q1,without Los Angeles Times,neutral,none,100.08552772733658
1945,2,1945 Q2,without Los Angeles Times,neutral,none,100.23060874267372
1945,3,1945 Q3,without Los Angeles Times,neutral,none,100.20269324122265
1945,4,1945 Q4,without Los Angeles Times,neutral,none,100.07838940105765
1946,1,1946 Q1,without Los Angeles Times,neutral,none,100.00235127220171
1946,2,1946 Q2,without Los Angeles Times,neutral,none,100.16351463359752
1946,3,1946 Q3,without Los Angeles Times,neutral,none,99.74295523880491
1946,4,1946 Q4,without Los Angeles Times,neutral,none,99.81535784556242
1947,1,1947 Q1,without Los Angeles Times,neutral,none,99.9799074248609
1947,2,1947 Q2,without Los Angeles Times,neutral,none,100.03391709476584
1947,3,1947 Q3,without Los Angeles Times,neutral,none,100.11203461228132
1947,4,1947 Q4,without Los Angeles Times,neutral,none,100.24207331405239
1948,1,1948 Q1,without Los Angeles Times,neutral,none,100.12636036706996
1948,2,1948 Q2,without Los Angeles Times,neutral,none,99.77014595027283
1948,3,1948 Q3,without Los Angeles Times,neutral,none,99.92608292397279
1948,4,1948 Q4,without Los Angeles Times,neutral,none,100.14999644366205
1949,1,1949 Q1,without Los Angeles Times,neutral,none,100.17468426990689
1949,2,1949 Q2,without Los Angeles Times,neutral,none,99.81425583620556
1949,3,1949 Q3,without Los Angeles Times,neutral,none,100.17116151536275
1949,4,1949 Q4,without Los Angeles Times,neutral,none,99.84160930391383
1950,1,1950 Q1,without Los Angeles Times,neutral,none,99.86354998099046
1950,2,1950 Q2,without Los Angeles Times,neutral,none,99.74473529277012
1950,3,1950 Q3,without Los Angeles Times,neutral,none,99.76634114534365
1950,4,1950 Q4,without Los Angeles Times,neutral,none,99.924590705111
1951,1,1951 Q1,without Los Angeles Times,neutral,none,99.79031455900167
1951,2,1951 Q2,without Los Angeles Times,neutral,none,99.56486757110724
1951,3,1951 Q3,without Los Angeles Times,neutral,none,99.59836757892597
1951,4,1951 Q4,without Los Angeles Times,neutral,none,99.55413974268814
1952,1,1952 Q1,without Los Angeles Times,neutral,none,99.78268087795806
1952,2,1952 Q2,without Los Angeles Times,neutral,none,99.49358204978701
1952,3,1952 Q3,without Los Angeles Times,neutral,none,99.67834704200716
1952,4,1952 Q4,without Los Angeles Times,neutral,none,99.51660296009076
1953,1,1953 Q1,without Los Angeles Times,neutral,none,99.78552438025773
1953,2,1953 Q2,without Los Angeles Times,neutral,none,99.95982799555208
1953,3,1953 Q3,without Los Angeles Times,neutral,none,99.66777818247981
1953,4,1953 Q4,without Los Angeles Times,neutral,none,99.61079474713216
1954,1,1954 Q1,without Los Angeles Times,neutral,none,100.00172412341803
1954,2,1954 Q2,without Los Angeles Times,neutral,none,99.68568076557142
1954,3,1954 Q3,without Los Angeles Times,neutral,none,99.6526529555768
1954,4,1954 Q4,without Los Angeles Times,neutral,none,99.6050895866298
1955,1,1955 Q1,without Los Angeles Times,neutral,none,99.63841193303654
1955,2,1955 Q2,without Los Angeles Times,neutral,none,99.38123926319608
1955,3,1955 Q3,without Los Angeles Times,neutral,none,99.52503860543992
1955,4,1955 Q4,without Los Angeles Times,neutral,none,99.43306633151451
1956,1,1956 Q1,without Los Angeles Times,neutral,none,99.65895525317802
1956,2,1956 Q2,without Los Angeles Times,neutral,none,99.408133039276
1956,3,1956 Q3,without Los Angeles Times,neutral,none,99.51630610581114
1956,4,1956 Q4,without Los Angeles Times,neutral,none,99.62096071857812
1957,1,1957 Q1,without Los Angeles Times,neutral,none,99.54811463132678
1957,2,1957 Q2,without Los Angeles Times,neutral,none,99.72352300405409
1957,3,1957 Q3,without Los Angeles Times,neutral,none,99.59304942096928
1957,4,1957 Q4,without Los Angeles Times,neutral,none,99.61756042471471
1958,1,1958 Q1,without Los Angeles Times,neutral,none,99.74330579986139
1958,2,1958 Q2,without Los Angeles Times,neutral,none,99.47133749513438
1958,3,1958 Q3,without Los Angeles Times,neutral,none,99.38569829436229
1958,4,1958 Q4,without Los Angeles Times,neutral,none,99.64794534418021
1959,1,1959 Q1,without Los Angeles Times,neutral,none,99.977980630112
1959,2,1959 Q2,without Los Angeles Times,neutral,none,99.74769228116013
1959,3,1959 Q3,without Los Angeles Times,neutral,none,99.59900941136493
1959,4,1959 Q4,without Los Angeles Times,neutral,none,99.7261536907136
1960,1,1960 Q1,without Los Angeles Times,neutral,none,99.67324786645796
1960,2,1960 Q2,without Los Angeles Times,neutral,none,99.58254403691056
1960,3,1960 Q3,without Los Angeles Times,neutral,none,99.53057577487256
1960,4,1960 Q4,without Los Angeles Times,neutral,none,99.74620956234207
1961,1,1961 Q1,without Los Angeles Times,neutral,none,99.83283137674321
1961,2,1961 Q2,without Los Angeles Times,neutral,none,99.74461394851676
1961,3,1961 Q3,without Los Angeles Times,neutral,none,99.73231544848088
1961,4,1961 Q4,without Los Angeles Times,neutral,none,99.8108963624961
1962,1,1962 Q1,without Los Angeles Times,neutral,none,99.98148621247967
1962,2,1962 Q2,without Los Angeles Times,neutral,none,100.08594626868435
1962,3,1962 Q3,without Los Angeles Times,neutral,none,99.84999092213343
1962,4,1962 Q4,without Los Angeles Times,neutral,none,99.93508705141973
1963,1,1963 Q1,without Los Angeles Times,neutral,none,100.10973160150564
1963,2,1963 Q2,without Los Angeles Times,neutral,none,99.837810099219
1963,3,1963 Q3,without Los Angeles Times,neutral,none,99.53628627538207
1963,4,1963 Q4,without Los Angeles Times,neutral,none,99.79856430276793
1964,1,1964 Q1,without Los Angeles Times,neutral,none,99.76247809783507
1964,2,1964 Q2,without Los Angeles Times,neutral,none,99.66164872257079
1964,3,1964 Q3,without Los Angeles Times,neutral,none,99.7338790124576
1964,4,1964 Q4,without Los Angeles Times,neutral,none,99.69976989464125
1965,1,1965 Q1,without Los Angeles Times,neutral,none,99.99540528190023
1965,2,1965 Q2,without Los Angeles Times,neutral,none,99.55161013935526
1965,3,1965 Q3,without Los Angeles Times,neutral,none,99.66123502107843
1965,4,1965 Q4,without Los Angeles Times,neutral,none,99.79368232368694
1966,1,1966 Q1,without Los Angeles Times,neutral,none,100.12392988297862
1966,2,1966 Q2,without Los Angeles Times,neutral,none,99.83214132385736
1966,3,1966 Q3,without Los Angeles Times,neutral,none,99.89411149350774
1966,4,1966 Q4,without Los Angeles Times,neutral,none,99.90091860696604
1967,1,1967 Q1,without Los Angeles Times,neutral,none,99.99866777585032
1967,2,1967 Q2,without Los Angeles Times,neutral,none,100.0270923169016
1967,3,1967 Q3,without Los Angeles Times,neutral,none,99.81747403311218
1967,4,1967 Q4,without Los Angeles Times,neutral,none,100.02541727078294
1968,1,1968 Q1,without Los Angeles Times,neutral,none,100.36371640720506
1968,2,1968 Q2,without Los Angeles Times,neutral,none,99.93369770471188
1968,3,1968 Q3,without Los Angeles Times,neutral,none,99.82869612773862
1968,4,1968 Q4,without Los Angeles Times,neutral,none,99.8539554077899
1969,1,1969 Q1,without Los Angeles Times,neutral,none,99.9501932778785
1969,2,1969 Q2,without Los Angeles Times,neutral,none,99.89362702701635
1969,3,1969 Q3,without Los Angeles Times,neutral,none,100.1585416528508
1969,4,1969 Q4,without Los Angeles Times,neutral,none,99.60135157514009
1970,1,1970 Q1,without Los Angeles Times,neutral,none,99.92883274032857
1970,2,1970 Q2,without Los Angeles Times,neutral,none,99.77013497356666
1970,3,1970 Q3,without Los Angeles Times,neutral,none,99.58172029341918
1970,4,1970 Q4,without Los Angeles Times,neutral,none,99.7578572564727
1971,1,1971 Q1,without Los Angeles Times,neutral,none,99.85087562809385
1971,2,1971 Q2,without Los Angeles Times,neutral,none,99.72255439447025
1971,3,1971 Q3,without Los Angeles Times,neutral,none,100.20704242679201
1971,4,1971 Q4,without Los Angeles Times,neutral,none,99.91513942340966
1972,1,1972 Q1,without Los Angeles Times,neutral,none,99.79971613808368
1972,2,1972 Q2,without Los Angeles Times,neutral,none,99.78613712341233
1972,3,1972 Q3,without Los Angeles Times,neutral,none,99.94456848871594
1972,4,1972 Q4,without Los Angeles Times,neutral,none,99.89670489667112
1973,1,1973 Q1,without Los Angeles Times,neutral,none,100.26871185991908
1973,2,1973 Q2,without Los Angeles Times,neutral,none,100.07556657315698
1973,3,1973 Q3,without Los Angeles Times,neutral,none,100.26984884147116
1973,4,1973 Q4,without Los Angeles Times,neutral,none,99.96825711954669
1974,1,1974 Q1,without Los Angeles Times,neutral,none,100.20366081003033
1974,2,1974 Q2,without Los Angeles Times,neutral,none,100.04446203441654
1974,3,1974 Q3,without Los Angeles Times,neutral,none,100.42285448183472
1974,4,1974 Q4,without Los Angeles Times,neutral,none,100.60152207235956
1975,1,1975 Q1,without Los Angeles Times,neutral,none,100.64992103380172
1975,2,1975 Q2,without Los Angeles Times,neutral,none,100.2156101981592
1975,3,1975 Q3,without Los Angeles Times,neutral,none,100.09599147102314
1975,4,1975 Q4,without Los Angeles Times,neutral,none,99.97995962247101
1976,1,1976 Q1,without Los Angeles Times,neutral,none,100.05538090328452
1976,2,1976 Q2,without Los Angeles Times,neutral,none,99.99442892908903
1976,3,1976 Q3,without Los Angeles Times,neutral,none,99.76686501118314
1976,4,1976 Q4,without Los Angeles Times,neutral,none,100.09427130400755
1977,1,1977 Q1,without Los Angeles Times,neutral,none,100.32838379235173
1977,2,1977 Q2,without Los Angeles Times,neutral,none,100.10885392634977
1977,3,1977 Q3,without Los Angeles Times,neutral,none,100.13773401376412
1977,4,1977 Q4,without Los Angeles Times,neutral,none,100.34747615248273
1978,1,1978 Q1,without Los Angeles Times,neutral,none,100.52313843064701
1978,2,1978 Q2,without Los Angeles Times,neutral,none,100.55815395098341
1978,3,1978 Q3,without Los Angeles Times,neutral,none,100.45828099059004
1978,4,1978 Q4,without Los Angeles Times,neutral,none,100.13081569889079
1979,1,1979 Q1,without Los Angeles Times,neutral,none,100.32892272501427
1979,2,1979 Q2,without Los Angeles Times,neutral,none,100.26692335184998
1979,3,1979 Q3,without Los Angeles Times,neutral,none,100.41592877954756
1979,4,1979 Q4,without Los Angeles Times,neutral,none,100.44273665911027
1980,1,1980 Q1,without Los Angeles Times,neutral,none,100.75000936305933
1980,2,1980 Q2,without Los Angeles Times,neutral,none,100.55342543944568
1980,3,1980 Q3,without Los Angeles Times,neutral,none,100.24842638319444
1980,4,1980 Q4,without Los Angeles Times,neutral,none,100.3065174570819
1981,1,1981 Q1,without Los Angeles Times,neutral,none,100.5241900668001
1981,2,1981 Q2,without Los Angeles Times,neutral,none,100.42889368417941
1981,3,1981 Q3,without Los Angeles Times,neutral,none,100.52954812866298
1981,4,1981 Q4,without Los Angeles Times,neutral,none,100.48884704446421
1982,1,1982 Q1,without Los Angeles Times,neutral,none,100.40944751185046
1982,2,1982 Q2,without Los Angeles Times,neutral,none,100.41443276921257
1982,3,1982 Q3,without Los Angeles Times,neutral,none,100.48107020487484
1982,4,1982 Q4,without Los Angeles Times,neutral,none,100.48510754704296
1983,1,1983 Q1,without Los Angeles Times,neutral,none,100.3436433077733
1983,2,1983 Q2,without Los Angeles Times,neutral,none,100.39430871071102
1983,3,1983 Q3,without Los Angeles Times,neutral,none,100.2605446704446
1983,4,1983 Q4,without Los Angeles Times,neutral,none,99.83739837421793
1984,1,1984 Q1,without Los Angeles Times,neutral,none,100.07162996888214
1984,2,1984 Q2,without Los Angeles Times,neutral,none,100.08867915467526
1984,3,1984 Q3,without Los Angeles Times,neutral,none,100.30870560460679
1984,4,1984 Q4,without Los Angeles Times,neutral,none,99.8215097967696
1985,1,1985 Q1,without Los Angeles Times,neutral,none,100.33524406294516
1985,2,1985 Q2,without Los Angeles Times,neutral,none,100.17983484344033
1985,3,1985 Q3,without Los Angeles Times,neutral,none,100.21777735474403
1985,4,1985 Q4,without Los Angeles Times,neutral,none,100.2275545616231
1986,1,1986 Q1,without Los Angeles Times,neutral,none,100.27574081217384
1986,2,1986 Q2,without Los Angeles Times,neutral,none,100.13986777284299
1986,3,1986 Q3,without Los Angeles Times,neutral,none,100.29316673812562
1986,4,1986 Q4,without Los Angeles Times,neutral,none,99.98571431538616
1987,1,1987 Q1,without Los Angeles Times,neutral,none,100.3717151226557
1987,2,1987 Q2,without Los Angeles Times,neutral,none,100.18222151710987
1987,3,1987 Q3,without Los Angeles Times,neutral,none,100.03866342333308
1987,4,1987 Q4,without Los Angeles Times,neutral,none,100.29594657438251
1988,1,1988 Q1,without Los Angeles Times,neutral,none,99.92862287786748
1988,2,1988 Q2,without Los Angeles Times,neutral,none,99.6836628751666
1988,3,1988 Q3,without Los Angeles Times,neutral,none,99.62834716632864
1988,4,1988 Q4,without Los Angeles Times,neutral,none,99.69536640660482
1989,1,1989 Q1,without Los Angeles Times,neutral,none,99.81401583347933
1989,2,1989 Q2,without Los Angeles Times,neutral,none,99.45226162520683
1989,3,1989 Q3,without Los Angeles Times,neutral,none,99.45982888216889
1989,4,1989 Q4,without Los Angeles Times,neutral,none,99.40680419610855
1990,1,1990 Q1,without Los Angeles Times,neutral,none,99.39926026122289
1990,2,1990 Q2,without Los Angeles Times,neutral,none,99.50408448323948
1990,3,1990 Q3,without Los Angeles Times,neutral,none,99.4932331846995
1990,4,1990 Q4,without Los Angeles Times,neutral,none,99.3063048488155
1991,1,1991 Q1,without Los Angeles Times,neutral,none,99.36964405936322
1991,2,1991 Q2,without Los Angeles Times,neutral,none,99.54954017398127
1991,3,1991 Q3,without Los Angeles Times,neutral,none,99.54400746769731
1991,4,1991 Q4,without Los Angeles Times,neutral,none,99.71444440574294
1992,1,1992 Q1,without Los Angeles Times,neutral,none,99.60868621391865
1992,2,1992 Q2,without Los Angeles Times,neutral,none,99.44766721244032
1992,3,1992 Q3,without Los Angeles Times,neutral,none,99.55867835430779
1992,4,1992 Q4,without Los Angeles Times,neutral,none,99.4897499198211
1993,1,1993 Q1,without Los Angeles Times,neutral,none,99.47625260961037
1993,2,1993 Q2,without Los Angeles Times,neutral,none,99.29606608435944
1993,3,1993 Q3,without Los Angeles Times,neutral,none,99.17446509032447
1993,4,1993 Q4,without Los Angeles Times,neutral,none,98.86563125382193
1994,1,1994 Q1,without Los Angeles Times,neutral,none,99.47724691489601
1994,2,1994 Q2,without Los Angeles Times,neutral,none,99.48048530663188
1994,3,1994 Q3,without Los Angeles Times,neutral,none,99.45146670085177
1994,4,1994 Q4,without Los Angeles Times,neutral,none,99.45585796733178
1995,1,1995 Q1,without Los Angeles Times,neutral,none,99.36140913060989
1995,2,1995 Q2,without Los Angeles Times,neutral,none,99.31406443641286
1995,3,1995 Q3,without Los Angeles Times,neutral,none,99.4243042875247
1995,4,1995 Q4,without Los Angeles Times,neutral,none,99.35444240318043
1996,1,1996 Q1,without Los Angeles Times,neutral,none,99.56504926184871
1996,2,1996 Q2,without Los Angeles Times,neutral,none,99.60532137081765
1996,3,1996 Q3,without Los Angeles Times,neutral,none,99.44919612435856
1996,4,1996 Q4,without Los Angeles Times,neutral,none,99.43200568425684
1997,1,1997 Q1,without Los Angeles Times,neutral,none,99.59154740835726
1997,2,1997 Q2,without Los Angeles Times,neutral,none,99.49302217972466
1997,3,1997 Q3,without Los Angeles Times,neutral,none,99.52475122306981
1997,4,1997 Q4,without Los Angeles Times,neutral,none,99.77799886434453
1998,1,1998 Q1,without Los Angeles Times,neutral,none,99.68871656335837
1998,2,1998 Q2,without Los Angeles Times,neutral,none,99.45175506073414
1998,3,1998 Q3,without Los Angeles Times,neutral,none,99.44801888797133
1998,4,1998 Q4,without Los Angeles Times,neutral,none,99.41008732703145
1999,1,1999 Q1,without Los Angeles Times,neutral,none,99.57767163867159
1999,2,1999 Q2,without Los Angeles Times,neutral,none,99.36366799720058
1999,3,1999 Q3,without Los Angeles Times,neutral,none,99.50761985593067
1999,4,1999 Q4,without Los Angeles Times,neutral,none,99.50758182533887
2e3,1,2000 Q1,without Los Angeles Times,neutral,none,99.57996821640103
2e3,2,2000 Q2,without Los Angeles Times,neutral,none,99.45626094206305
2e3,3,2000 Q3,without Los Angeles Times,neutral,none,99.21251543439234
2e3,4,2000 Q4,without Los Angeles Times,neutral,none,99.22318745185893
2001,1,2001 Q1,without Los Angeles Times,neutral,none,99.33389043116948
2001,2,2001 Q2,without Los Angeles Times,neutral,none,99.30284233934432
2001,3,2001 Q3,without Los Angeles Times,neutral,none,99.24034371586536
2001,4,2001 Q4,without Los Angeles Times,neutral,none,99.25321580530004
2002,1,2002 Q1,without Los Angeles Times,neutral,none,99.37291634445218
2002,2,2002 Q2,without Los Angeles Times,neutral,none,99.26821690394769
2002,3,2002 Q3,without Los Angeles Times,neutral,none,99.44381375208229
2002,4,2002 Q4,without Los Angeles Times,neutral,none,99.2934480199859
2003,1,2003 Q1,without Los Angeles Times,neutral,none,99.33503138299248
2003,2,2003 Q2,without Los Angeles Times,neutral,none,99.44889888675962
2003,3,2003 Q3,without Los Angeles Times,neutral,none,99.44218673617547
2003,4,2003 Q4,without Los Angeles Times,neutral,none,99.2884452107611
2004,1,2004 Q1,without Los Angeles Times,neutral,none,99.2111460379844
2004,2,2004 Q2,without Los Angeles Times,neutral,none,99.21320409006016
2004,3,2004 Q3,without Los Angeles Times,neutral,none,99.2155592412295
2004,4,2004 Q4,without Los Angeles Times,neutral,none,98.98383461352347
2005,1,2005 Q1,without Los Angeles Times,neutral,none,98.97296030901356
2005,2,2005 Q2,without Los Angeles Times,neutral,none,98.91379880102201
2005,3,2005 Q3,without Los Angeles Times,neutral,none,98.97739153132116
2005,4,2005 Q4,without Los Angeles Times,neutral,none,98.7532240527893
2006,1,2006 Q1,without Los Angeles Times,neutral,none,98.99529096436396
2006,2,2006 Q2,without Los Angeles Times,neutral,none,98.89806328400795
2006,3,2006 Q3,without Los Angeles Times,neutral,none,98.94293211093867
2006,4,2006 Q4,without Los Angeles Times,neutral,none,98.86924621065192
2007,1,2007 Q1,without Los Angeles Times,neutral,none,98.87068272626655
2007,2,2007 Q2,without Los Angeles Times,neutral,none,98.87683107507405
2007,3,2007 Q3,without Los Angeles Times,neutral,none,99.16191179659752
2007,4,2007 Q4,without Los Angeles Times,neutral,none,98.73404719160862
2008,1,2008 Q1,without Los Angeles Times,neutral,none,98.89596921610384
